label_bioinfo	Year	Longitude	Latitude	Depth_m	Y2001	Y2002	Y2008	Y2013	Y2014	Y2015	Spp
red001	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red002	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red003	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red004	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red005	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red006	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red007	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red008	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red009	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red010	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red011	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red012	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red013	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red014	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red015	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red016	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red017	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red018	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red019	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red020	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red021	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red022	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red023	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red024	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red025	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red026	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red027	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red028	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red030	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red031	2008	-57.78	66.58	586	0	0	1	0	0	0	mentella
red032	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red033	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red034	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red035	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red036	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red037	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red038	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red039	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red040	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red041	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red042	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red043	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red044	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red045	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red046	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red047	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red048	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red049	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red050	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red051	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red052	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red053	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red054	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red055	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red056	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red057	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red058	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red059	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red060	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red061	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red062	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red063	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red064	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red065	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red066	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red067	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red068	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red069	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red070	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red071	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red072	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red073	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red074	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red075	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red076	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red078	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red079	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red080	2008	-61.16	67.14	458	0	0	1	0	0	0	mentella
red081	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red082	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red083	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red084	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red085	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red086	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red087	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red088	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red089	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red090	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red091	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red092	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red093	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red094	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red095	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red096	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red097	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red098	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red099	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red100	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red101	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red102	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
red103	2001	-67.07	42.32	297	1	0	0	0	0	0	fasciatus
